"","Y_bincc","A","M","C"
"199",0,0,0,0
"200",0,0,1,1
"201",0,0,0,1
"202",0,0,1,0
"203",0,1,1,1
"204",0,1,1,1
"205",0,1,1,1
"206",0,1,0,0
"207",0,1,1,1
"208",0,0,0,0
"209",0,1,1,1
"210",0,1,1,1
"211",0,0,1,0
"212",0,1,1,0
"213",0,0,1,0
"214",0,1,0,1
"215",0,1,0,0
"216",0,1,1,1
"217",0,0,1,1
"218",0,1,1,0
"219",0,0,1,0
"220",0,1,1,1
"221",0,0,1,1
"222",0,0,0,0
"223",0,0,1,1
"224",0,1,1,0
"225",0,1,1,1
"226",0,1,1,0
"227",0,1,0,1
"228",0,1,1,0
"229",0,1,1,1
"230",0,0,1,0
"231",0,0,0,1
"232",0,0,1,1
"233",0,1,1,0
"234",0,0,1,0
"235",0,0,1,1
"236",0,1,1,1
"237",0,0,1,1
"238",0,1,1,1
"239",0,1,0,0
"240",0,0,1,1
"241",0,1,1,1
"242",0,0,1,0
"243",0,0,1,0
"244",0,1,1,1
"245",0,1,0,0
"246",0,1,0,1
"247",0,1,1,0
"248",0,0,0,0
"249",0,0,1,0
"250",0,1,0,1
"251",0,1,1,1
"252",0,1,1,1
"253",0,0,1,0
"254",0,0,1,0
"255",0,1,1,0
"256",0,0,1,1
"257",0,1,1,0
"258",0,1,1,0
"259",0,1,1,0
"260",0,1,1,1
"261",0,0,1,1
"262",0,1,0,0
"263",0,1,1,1
"264",0,1,1,1
"265",0,0,0,0
"266",0,1,1,1
"267",0,1,0,1
"268",0,1,0,0
"269",0,1,0,0
"270",0,1,1,0
"271",0,1,1,1
"272",0,1,1,1
"273",0,1,1,1
"274",0,1,0,1
"275",0,0,0,0
"276",0,1,0,0
"277",0,1,0,0
"278",0,1,0,1
"279",0,1,1,1
"280",0,0,0,0
"281",0,0,1,1
"282",0,1,1,1
"283",0,1,0,1
"284",0,0,0,0
"285",0,0,1,1
"286",0,1,0,1
"287",0,1,0,0
"288",0,0,1,1
"289",0,0,1,1
"290",0,1,0,0
"291",0,1,0,1
"292",0,1,1,1
"293",0,1,0,1
"294",0,0,1,1
"295",0,0,0,0
"296",0,1,1,1
"297",0,1,1,1
"298",0,0,1,1
"299",0,0,1,1
"300",0,1,1,1
"301",0,1,1,1
"302",0,0,1,1
"303",0,1,1,1
"304",0,1,1,0
"305",0,0,0,0
"306",0,1,1,1
"307",0,0,1,1
"308",0,1,1,1
"309",0,1,0,0
"310",0,1,0,1
"311",0,1,1,1
"312",0,1,0,1
"313",0,0,0,0
"314",0,1,0,0
"315",0,1,1,1
"316",0,1,0,0
"317",0,0,1,0
"318",0,0,0,1
"319",0,0,0,1
"320",0,0,0,1
"321",0,1,0,1
"322",0,1,1,0
"323",0,0,1,1
"324",0,1,1,0
"325",0,1,1,1
"326",0,1,1,1
"327",0,0,0,0
"328",0,1,0,0
"329",0,0,1,1
"330",0,1,1,0
"331",0,0,0,1
"332",0,1,1,1
"333",0,1,0,0
"334",0,0,1,1
"335",0,0,1,0
"336",0,1,0,0
"337",0,1,1,1
"338",0,1,0,1
"339",0,1,0,1
"340",0,1,1,0
"341",0,1,1,0
"342",0,1,1,0
"343",0,1,1,0
"344",0,1,0,0
"345",0,0,0,0
"346",0,1,0,1
"347",0,1,1,1
"348",0,1,1,1
"349",0,1,1,1
"350",0,1,0,0
"351",0,1,1,1
"352",0,1,1,1
"353",0,0,0,0
"354",0,1,0,1
"355",0,0,0,0
"356",0,1,0,0
"357",0,1,1,0
"358",0,1,1,0
"359",0,1,0,1
"360",0,1,0,0
"361",0,0,1,1
"362",0,1,0,0
"363",0,1,1,1
"364",0,0,0,1
"365",0,1,0,0
"366",0,0,1,0
"367",0,1,0,0
"368",0,1,0,0
"369",0,0,0,0
"370",0,1,1,1
"371",0,1,0,0
"372",0,1,1,1
"373",0,0,1,1
"374",0,0,0,1
"375",0,0,1,0
"376",0,1,0,0
"377",0,1,0,1
"378",0,1,1,0
"379",0,1,0,0
"380",0,1,1,0
"381",0,1,0,0
"382",0,1,1,1
"383",0,1,0,1
"384",0,1,0,1
"385",0,0,1,0
"386",0,0,0,1
"387",0,0,0,0
"388",0,1,1,0
"389",0,1,0,1
"390",0,1,1,1
"391",0,0,0,0
"392",0,1,1,0
"393",0,0,0,0
"394",0,0,1,0
"395",0,0,0,1
"396",0,0,1,0
"397",0,1,1,1
"398",0,1,1,1
"399",0,1,0,0
"400",0,1,1,0
"401",0,1,0,1
"402",0,1,1,1
"403",0,1,0,0
"404",0,1,1,1
"405",0,1,0,1
"406",0,0,0,0
"407",0,1,1,1
"408",0,1,1,0
"409",0,1,1,1
"410",0,0,1,0
"411",0,0,0,1
"412",0,1,0,1
"413",0,0,1,1
"414",0,1,0,1
"415",0,0,1,0
"416",0,0,0,0
"417",0,1,1,1
"418",0,1,1,0
"419",0,0,0,1
"420",0,1,0,1
"421",0,0,1,1
"422",0,1,1,0
"423",0,0,0,0
"424",0,1,1,1
"425",0,1,1,0
"426",0,0,0,0
"427",0,1,0,1
"428",0,1,0,1
"429",0,1,1,1
"430",0,1,0,0
"431",0,1,0,0
"432",0,1,1,1
"433",0,0,0,1
"434",0,1,1,1
"435",0,1,1,0
"436",0,0,0,0
"437",0,0,1,1
"438",0,1,1,1
"439",0,0,0,0
"440",0,0,1,0
"441",0,1,0,0
"442",0,1,0,0
"443",0,0,0,0
"444",0,1,1,1
"445",0,0,1,1
"446",0,0,1,1
"447",0,1,0,0
"448",0,0,0,1
"449",0,1,1,1
"450",0,1,1,0
"451",0,1,0,0
"452",0,1,0,1
"453",0,1,0,1
"454",0,0,1,0
"455",0,1,0,0
"456",0,0,0,0
"457",0,0,1,0
"458",0,1,0,0
"459",0,0,0,1
"460",0,1,1,1
"461",0,1,1,1
"462",0,1,0,1
"463",0,0,1,1
"464",0,0,1,1
"465",0,1,0,1
"466",0,1,1,1
"467",0,0,0,0
"468",0,1,0,0
"469",0,1,1,1
"470",0,1,0,1
"471",0,0,0,1
"472",0,1,1,1
"473",0,1,0,1
"474",0,0,0,1
"475",0,1,0,1
"476",0,0,1,0
"477",0,1,1,1
"478",0,0,1,0
"479",0,1,1,1
"480",0,0,0,1
"481",0,1,0,1
"482",0,1,0,0
"483",0,0,0,0
"484",0,0,1,0
"485",0,0,0,1
"486",0,0,0,0
"487",0,1,1,0
"488",0,1,1,1
"489",0,1,0,1
"490",0,0,1,0
"491",0,1,0,1
"492",0,1,1,1
"493",0,1,0,1
"494",0,1,0,0
"495",0,1,0,0
"496",0,1,1,0
"497",0,0,1,0
"498",0,1,1,0
"499",0,1,0,0
"500",0,1,1,0
"501",0,1,1,1
"502",0,1,1,0
"503",0,1,1,1
"504",0,1,0,0
"505",0,0,1,1
"506",0,1,1,0
"507",0,0,0,1
"508",0,1,1,1
"509",0,1,0,0
"510",0,1,1,0
"511",0,1,1,1
"512",0,0,0,0
"513",0,0,1,0
"514",0,1,1,1
"515",0,1,1,1
"516",0,1,0,0
"517",0,1,0,1
"518",0,0,1,0
"519",0,1,1,0
"520",0,1,0,1
"521",0,0,1,0
"522",0,0,0,0
"523",0,1,0,0
"524",0,0,1,0
"525",0,1,0,0
"526",0,0,1,1
"527",0,0,0,0
"528",0,0,0,1
"529",0,0,1,1
"530",0,1,0,1
"531",0,0,0,1
"532",0,1,0,0
"533",0,0,0,0
"534",0,1,0,1
"535",0,0,1,1
"536",0,1,1,0
"537",0,0,0,0
"538",0,0,0,1
"539",0,1,0,0
"540",0,1,0,1
"541",0,1,1,1
"542",0,1,0,1
"543",0,1,0,0
"544",0,0,1,1
"545",0,0,1,1
"546",0,1,1,1
"547",0,0,1,0
"548",0,1,0,0
"549",0,0,1,0
"550",0,0,0,0
"551",0,1,0,0
"552",0,1,0,0
"553",0,1,1,1
"554",0,1,0,0
"555",0,1,1,0
"556",0,0,1,1
"557",0,0,0,0
"558",0,0,1,1
"559",0,1,0,0
"560",0,1,0,1
"561",0,1,1,0
"562",0,0,0,0
"563",0,1,0,0
"564",0,0,0,1
"565",0,1,1,0
"566",0,1,1,1
"567",0,1,0,1
"568",0,1,1,0
"569",0,1,1,0
"570",0,1,1,0
"571",0,1,0,1
"572",0,1,1,0
"573",0,1,1,0
"574",0,1,1,1
"575",0,1,1,0
"576",0,1,1,1
"577",0,0,0,0
"578",0,0,0,0
"579",0,1,0,0
"580",0,0,0,0
"581",0,1,0,1
"582",0,0,0,0
"583",0,0,0,1
"584",0,1,1,1
"585",0,0,0,1
"586",0,1,1,1
"587",0,1,0,1
"588",0,0,0,1
"589",0,0,1,1
"590",0,1,1,1
"591",0,1,0,1
"592",0,1,1,0
"593",0,0,1,1
"594",0,0,0,1
"595",0,1,0,0
"596",0,1,0,1
"597",0,1,0,0
"598",0,1,1,1
"599",0,1,1,0
"600",0,1,1,1
"601",0,1,1,1
"602",0,1,0,0
"603",0,0,0,1
"604",0,1,1,1
"605",0,1,0,1
"606",0,0,1,1
"607",0,1,1,0
"608",0,1,1,1
"609",0,1,1,0
"610",0,1,1,0
"611",0,1,1,0
"612",0,1,0,0
"613",0,1,0,1
"614",0,1,0,0
"615",0,1,0,0
"616",0,1,0,1
"617",0,0,1,1
"618",0,1,1,1
"619",0,0,0,0
"620",0,0,1,1
"621",0,1,0,0
"622",0,0,1,1
"623",0,1,1,1
"624",0,0,0,0
"625",0,1,1,1
"626",0,1,1,0
"627",0,1,1,1
"628",0,0,1,1
"629",0,1,1,0
"630",0,0,1,1
"631",0,0,0,0
"632",0,1,1,1
"633",0,1,0,0
"634",0,0,1,0
"635",0,0,1,0
"636",0,0,0,1
"637",0,1,1,0
"638",0,1,1,1
"639",0,0,1,1
"640",0,1,0,0
"641",0,1,0,0
"642",0,0,0,0
"643",0,1,1,1
"644",0,1,1,1
"645",0,0,1,0
"646",0,1,1,0
"647",0,1,0,1
"648",0,0,0,1
"649",0,1,0,1
"650",0,1,1,0
"651",0,1,0,1
"652",0,1,0,1
"653",0,1,0,1
"654",0,0,1,0
"655",0,0,0,0
"656",0,1,0,0
"657",0,1,0,1
"658",0,0,1,0
"659",0,0,1,1
"660",0,1,1,1
"661",0,1,1,1
"662",0,0,0,0
"663",0,1,0,1
"664",0,0,0,0
"665",0,0,1,0
"666",0,1,1,0
"667",0,0,0,0
"668",0,1,0,1
"669",0,0,1,0
"670",0,1,0,1
"671",0,0,0,0
"672",0,1,0,0
"673",0,0,1,1
"674",0,1,0,0
"675",0,1,0,1
"676",0,1,1,0
"677",0,1,1,1
"678",0,0,0,1
"679",0,0,1,1
"680",0,0,1,0
"681",0,0,1,0
"682",0,0,1,1
"683",0,0,0,1
"684",0,0,1,0
"685",0,1,0,0
"686",0,1,0,0
"687",0,1,1,0
"688",0,1,0,0
"689",0,1,0,0
"690",0,1,1,0
"691",0,1,0,1
"692",0,0,1,1
"693",0,0,0,0
"694",0,1,0,0
"695",0,1,0,0
"696",0,1,0,0
"697",0,1,0,1
"698",0,1,0,0
"699",0,1,0,1
"700",0,1,0,0
"701",0,1,1,1
"702",0,0,0,0
"703",0,0,0,1
"704",0,1,1,0
"705",0,0,1,1
"706",0,1,0,1
"707",0,1,0,1
"708",0,1,0,0
"709",0,1,1,1
"710",0,1,1,0
"711",0,0,1,0
"712",0,1,0,0
"713",0,1,0,1
"714",0,1,1,1
"715",0,1,0,1
"716",0,1,1,1
"717",0,1,0,0
"718",0,0,0,1
"719",0,1,1,1
"720",0,1,1,1
"721",0,0,1,1
"722",0,0,1,0
"723",0,1,0,1
"724",0,1,1,0
"725",0,0,0,1
"726",0,1,0,1
"727",0,1,1,1
"728",0,1,0,0
"729",0,0,1,0
"730",0,1,0,1
"731",0,0,0,1
"732",0,1,1,1
"733",0,1,1,0
"734",0,1,1,1
"735",0,1,1,1
"736",0,0,1,1
"737",0,1,1,1
"738",0,0,0,0
"739",0,0,0,0
"740",0,0,1,0
"741",0,0,0,0
"742",0,1,0,1
"743",0,1,0,0
"744",0,1,1,0
"745",0,1,0,0
"746",0,1,1,0
"747",0,1,1,1
"748",0,0,1,1
"749",0,1,1,1
"750",0,0,0,1
"751",0,1,1,0
"752",0,1,0,0
"753",0,0,1,1
"754",0,1,0,0
"755",0,1,1,0
"756",0,0,0,1
"757",0,1,1,1
"758",0,1,1,1
"759",0,1,1,0
"760",0,1,0,1
"761",0,0,0,1
"762",0,0,0,0
"763",0,1,0,1
"764",0,1,0,0
"765",0,0,0,1
"766",0,1,0,1
"767",0,0,1,0
"768",0,1,0,1
"769",0,1,0,0
"770",0,1,0,1
"771",0,1,1,1
"772",0,1,0,1
"773",0,1,0,0
"774",0,0,0,0
"775",0,1,1,1
"776",0,0,1,1
"777",0,0,0,1
"778",0,0,0,0
"779",0,1,0,0
"780",0,1,0,0
"781",0,1,1,1
"782",0,1,0,1
"783",0,1,0,0
"784",0,0,1,1
"785",0,1,1,0
"786",0,0,1,1
"787",0,1,0,0
"788",0,0,0,0
"789",0,0,1,0
"790",0,0,1,1
"791",0,1,1,0
"792",0,1,0,0
"793",0,0,0,0
"794",0,1,0,0
"795",0,1,0,1
"796",0,0,0,1
"797",0,1,1,1
"798",0,0,0,0
"799",0,1,0,1
"800",0,1,1,0
"801",0,1,1,1
"802",0,0,0,0
"803",0,1,0,0
"804",0,1,0,0
"805",0,0,1,0
"806",0,0,0,1
"807",0,1,0,1
"808",0,1,0,0
"809",0,1,1,1
"810",0,1,0,1
"811",0,1,0,1
"812",0,1,0,0
"813",0,1,1,0
"814",0,1,1,1
"815",0,1,1,0
"816",0,1,1,1
"817",0,0,1,1
"818",0,1,0,0
"819",0,0,1,1
"820",0,1,1,0
"821",0,0,0,0
"822",0,1,1,0
"823",0,1,1,0
"824",0,0,1,1
"825",0,0,0,0
"826",0,1,1,0
"827",0,1,1,0
"828",0,1,0,0
"829",0,1,0,1
"830",0,1,1,0
"831",0,1,0,0
"832",0,0,0,0
"833",0,0,1,1
"834",0,1,0,0
"835",0,1,1,1
"836",0,1,1,0
"837",0,0,0,0
"838",0,1,1,0
"839",0,1,0,1
"840",0,1,0,0
"841",0,1,1,1
"842",0,0,0,0
"843",0,0,0,1
"844",0,1,0,0
"845",0,1,1,0
"846",0,0,0,0
"847",0,1,0,0
"848",0,0,1,1
"849",0,1,1,1
"850",0,0,0,1
"851",0,1,1,0
"852",0,1,0,0
"853",0,1,1,0
"854",0,1,1,1
"855",0,1,0,0
"856",0,0,1,1
"857",0,1,0,0
"858",0,0,1,1
"859",0,0,0,1
"860",0,1,1,1
"861",0,0,1,1
"862",0,1,0,1
"863",0,1,0,0
"864",0,0,0,1
"865",0,1,1,0
"866",0,1,1,0
"867",0,1,1,1
"868",0,1,1,1
"869",0,0,0,0
"870",0,1,0,0
"871",0,1,1,1
"872",0,1,1,0
"873",0,1,1,1
"874",0,0,0,0
"875",0,1,0,1
"876",0,0,1,0
"877",0,1,0,0
"878",0,0,1,1
"879",0,0,1,1
"880",0,1,1,1
"881",0,0,0,0
"882",0,0,1,1
"883",0,1,1,1
"884",0,0,1,1
"885",0,1,0,0
"886",0,1,1,0
"887",0,1,1,1
"888",0,1,1,1
"889",0,0,0,0
"890",0,1,1,1
"891",0,0,0,1
"892",0,1,1,0
"893",0,1,0,0
"894",0,1,0,0
"895",0,1,1,0
"896",0,1,1,1
"897",0,1,1,0
"898",0,1,1,0
"899",0,1,0,1
"900",0,1,1,0
"901",0,1,0,0
"902",0,1,0,1
"903",0,0,1,1
"904",0,0,1,0
"905",0,1,1,0
"906",0,1,1,1
"907",0,0,0,0
"908",0,0,0,0
"909",0,1,1,1
"910",0,0,1,0
"911",0,1,0,1
"912",0,1,1,0
"913",0,1,1,1
"914",0,1,0,1
"915",0,0,0,0
"916",0,1,1,0
"917",0,1,1,1
"918",0,1,1,1
"919",0,1,1,1
"920",0,0,1,1
"921",0,1,0,0
"922",0,1,1,1
"923",0,1,0,1
"924",0,0,0,0
"925",0,0,0,1
"926",0,1,1,1
"927",0,0,0,1
"928",0,1,0,0
"929",0,1,0,0
"930",0,1,0,1
"931",0,1,1,1
"932",0,1,1,1
"933",0,1,1,0
"934",0,1,1,1
"935",0,1,1,0
"936",0,1,1,1
"937",0,0,1,1
"938",0,0,1,1
"939",0,1,0,1
"940",0,0,0,0
"941",0,1,1,1
"942",0,1,0,1
"943",0,0,0,1
"944",0,0,0,1
"945",0,0,1,1
"946",0,1,0,0
"947",0,1,1,0
"948",0,0,1,1
"949",0,0,0,1
"950",0,0,0,1
"951",0,0,1,1
"952",0,0,0,1
"953",0,1,1,1
"954",0,1,1,0
"955",0,1,0,1
"956",0,1,1,0
"957",0,1,0,1
"958",0,1,1,0
"959",0,0,0,1
"960",0,1,0,1
"961",0,0,1,0
"962",0,0,0,0
"963",0,1,1,1
"964",0,1,0,0
"965",0,0,1,1
"966",0,1,1,1
"967",0,1,1,0
"968",0,1,1,0
"969",0,0,0,1
"970",0,1,0,1
"971",0,0,0,0
"972",0,1,0,1
"973",0,1,1,0
"974",0,0,0,0
"975",0,1,1,0
"976",0,0,0,0
"977",0,0,0,1
"978",0,0,0,1
"979",0,1,0,1
"980",0,0,0,1
"981",0,0,0,1
"982",0,1,1,0
"983",0,1,0,1
"984",0,1,0,1
"985",0,1,0,0
"986",0,0,1,1
"987",0,1,0,1
"988",0,0,0,1
"989",0,1,1,0
"990",0,1,0,0
"991",0,0,1,1
"992",0,1,1,0
"993",0,1,0,0
"994",0,0,1,1
"995",0,0,0,1
"996",0,1,0,0
"997",0,1,1,1
"998",0,1,1,1
"999",0,0,1,0
"1000",0,0,1,0
"1001",0,0,0,1
"1002",0,1,0,0
"1003",0,0,1,1
"1004",0,0,0,1
"1005",0,0,1,1
"1006",0,0,1,1
"1007",0,0,0,0
"1008",0,1,0,1
"1009",0,1,0,1
"1010",0,0,1,1
"1011",0,1,0,1
"1012",0,1,1,0
"1013",0,0,1,0
"1014",0,1,1,1
"1015",0,0,0,1
"1016",0,1,0,1
"1017",0,1,1,1
"1018",0,1,0,1
"1019",0,0,1,1
"1020",0,0,1,0
"1021",0,0,1,0
"1022",0,0,0,1
"1023",0,0,0,0
"1024",0,0,0,1
"1025",0,0,0,0
"1026",0,1,0,1
"1027",0,1,0,0
"1028",0,0,1,1
"1029",0,0,1,1
"1030",0,1,1,1
"1031",0,1,1,1
"1032",0,0,0,0
"1033",0,1,1,1
"1034",0,1,1,1
"1035",0,1,0,1
"1036",0,1,0,0
"1037",0,1,1,0
"1038",0,1,1,0
"1039",0,1,1,0
"1040",0,1,0,1
"1041",0,0,1,1
"1042",0,0,1,0
"1043",0,1,1,0
"1044",0,1,1,1
"1045",0,1,1,1
"1046",0,1,0,0
"1047",0,1,1,1
"1048",0,1,0,0
"1049",0,1,1,0
"1050",0,1,1,1
"1051",0,1,1,1
"1052",0,0,0,0
"1053",0,0,1,1
"1054",0,1,0,0
"1055",0,1,1,0
"1056",0,1,0,0
"1057",0,0,1,1
"1058",0,1,1,0
"1059",0,0,0,1
"1060",0,1,0,1
"1061",0,0,0,0
"1062",0,1,0,1
"1063",0,1,0,1
"1064",0,0,0,0
"1065",0,1,0,1
"1066",0,1,1,0
"1067",0,1,1,0
"1068",0,1,1,0
"1069",0,0,0,1
"1070",0,0,0,1
"1071",0,0,0,1
"1072",0,1,0,0
"1073",0,1,0,1
"1074",0,1,0,0
"1075",0,0,1,1
"1076",0,1,0,0
"1077",0,1,1,1
"1078",0,0,0,0
"1079",0,1,1,1
"1080",0,0,1,1
"1081",0,0,0,0
"1082",0,0,1,1
"1083",0,1,0,1
"1084",0,1,0,0
"1085",0,0,1,1
"1086",0,1,1,0
"1087",0,1,0,1
"1088",0,1,1,0
"1089",0,1,1,1
"1090",0,1,0,1
"1091",0,1,0,1
"1092",0,1,0,0
"1093",0,0,0,1
"1094",0,0,1,1
"1095",0,1,0,0
"1096",0,0,0,1
"1097",0,1,1,0
"1098",0,1,0,0
"1099",0,0,1,1
"1100",0,1,1,0
"1101",0,0,1,1
"1102",0,1,0,1
"1103",0,1,1,1
"1104",0,1,1,1
"1105",0,0,1,1
"1106",0,1,1,1
"1107",0,0,1,0
"1108",0,1,0,0
"1109",0,1,1,0
"1110",0,0,1,0
"1111",0,1,1,1
"1112",0,1,0,1
"1113",0,1,1,0
"1114",0,1,1,0
"1115",0,1,1,1
"1116",0,1,0,1
"1117",0,0,0,0
"1118",0,1,1,1
"1119",0,1,0,0
"1120",0,1,1,0
"1121",0,1,1,0
"1122",0,1,1,1
"1123",0,1,1,1
"1124",0,1,1,1
"1125",0,1,0,1
"1126",0,1,0,0
"1127",0,0,0,1
"1128",0,1,0,0
"1129",0,1,1,1
"1130",0,1,0,0
"1131",0,0,1,0
"1132",0,0,0,0
"1133",0,1,0,1
"1134",0,1,0,1
"1135",0,0,0,0
"1136",0,1,1,1
"1137",0,0,0,1
"1138",0,1,1,1
"1139",0,1,1,0
"1140",0,0,1,0
"1141",0,0,1,0
"1142",0,0,1,1
"1143",0,0,1,0
"1144",0,1,0,1
"1145",0,1,1,1
"1146",0,0,1,1
"1147",0,1,1,1
"1148",0,1,0,0
"1149",0,1,1,1
"1150",0,0,0,1
"1151",0,1,0,0
"1152",0,1,1,1
"1153",0,1,1,0
"1154",0,1,1,1
"1155",0,1,1,1
"1156",0,0,0,1
"1157",0,0,1,1
"1158",0,1,1,0
"1159",0,1,1,1
"1160",0,0,1,1
"1161",0,1,1,1
"1162",0,0,0,1
"1163",0,1,0,1
"1164",0,1,0,1
"1165",0,1,1,0
"1166",0,1,1,1
"1167",0,1,1,0
"1168",0,1,1,0
"1169",0,1,0,0
"1170",0,1,1,0
"1171",0,1,0,1
"1172",0,1,0,0
"1173",0,1,1,1
"1174",0,1,1,1
"1175",0,0,1,1
"1176",0,0,1,0
"1177",0,1,0,0
"1178",0,0,1,0
"1179",0,1,0,1
"1180",0,1,0,1
"1181",0,1,1,1
"1182",0,0,1,1
"1183",0,0,0,0
"1184",0,0,1,1
"1185",0,0,0,0
"1186",0,1,0,1
"1187",0,1,0,0
"1188",0,0,0,0
"1189",0,0,1,1
"1190",0,1,0,0
"1191",0,0,1,1
"1192",0,1,0,0
"1193",0,1,1,1
"1194",0,1,0,0
"1195",0,0,0,0
"1196",0,1,1,0
"1197",0,0,0,0
"1198",0,1,0,0
"1199",0,1,1,1
"1200",0,1,0,0
"1201",0,0,0,0
"1202",0,1,0,1
"1203",0,1,0,1
"1204",0,1,1,1
"1205",0,1,0,1
"1206",0,1,0,0
"1207",0,0,0,1
"1208",0,0,0,0
"1209",0,1,0,1
"1210",0,1,0,0
"1211",0,1,0,1
"1212",0,1,0,1
"1213",0,0,1,0
"1214",0,1,0,0
"1215",0,0,1,0
"1216",0,1,1,1
"1217",0,1,0,1
"1218",0,1,0,0
"1219",0,1,1,1
"1220",0,0,0,0
"1221",0,0,0,1
"1222",0,1,1,1
"1223",0,1,1,1
"1224",0,1,0,0
"1225",0,1,0,0
"1226",0,1,1,1
"1227",0,0,1,0
"1228",0,1,0,0
"1229",0,0,1,0
"1230",0,1,1,1
"1231",0,1,0,1
"1232",0,1,0,0
"1233",0,1,1,0
"1234",0,1,0,0
"1235",0,0,1,1
"1236",0,1,1,1
"1237",0,0,1,0
"1238",0,1,0,0
"1239",0,1,0,0
"1240",0,0,0,1
"1241",0,1,1,1
"1242",0,0,1,1
"1243",0,0,0,0
"1244",0,0,1,1
"1245",0,1,0,1
"1246",0,0,1,1
"1247",0,1,1,0
